Site,Mean,Median,Slope,Pval,IAV,Type
92,24.78853543,24.78674411,-0.001149236,0.221049562,0.040601306,Leuning
93,24.78853543,24.78674411,-0.001149236,0.221049562,0.040601306,Leuning
94,24.78853543,24.78674411,-0.001149236,0.221049562,0.040601306,Leuning
95,24.59179197,24.59088605,-0.000937602,0.211786936,0.038186368,Leuning
96,23.92862377,23.93016157,-0.001374791,0.373752366,0.086667507,Leuning
97,23.72077545,23.73449761,-0.004565491,0.032783902,0.130896241,Leuning
98,23.92065715,23.91013759,-0.00366301,0.022223862,0.074962616,Leuning
99,24.11969469,24.11819464,-0.002179996,0.074772479,0.075367174,Leuning
100,23.87064922,23.87526198,-0.001527867,0.540623103,0.11595777,Leuning
101,24.94561438,24.94945193,0.001532064,0.001364392,0.023361403,Leuning
102,24.90869849,24.90834899,0.001228476,0.020743917,0.027641737,Leuning
103,24.94561438,24.94945193,0.001532064,0.001364392,0.023361403,Leuning
104,24.90869849,24.90834899,0.001228476,0.020743917,0.027641737,Leuning
105,24.85990414,24.8971731,-0.004194966,0.003027925,0.093644201,Leuning
106,24.85990414,24.8971731,-0.004194966,0.003027925,0.093644201,Leuning
107,24.82268389,24.83274919,-0.000524355,0.327869973,0.040868889,Leuning
108,24.62188049,24.62763241,-0.00030736,0.678080109,0.036668838,Leuning
109,24.17852062,24.18821311,-0.005030806,2.50E-05,0.060119022,Leuning
110,24.18112271,24.18858967,-0.004760175,4.08E-05,0.061316639,Leuning
111,23.89014219,23.92959841,-0.01165634,7.06E-06,0.100929982,Leuning
112,23.77717694,23.78699013,-0.005013192,0.027137506,0.123898329,Leuning
113,24.31036025,24.32562468,0.00155828,0.13051015,0.070236132,Leuning
114,24.04977449,24.05749424,-0.002681351,0.07712322,0.098863847,Leuning
115,24.04086241,24.0513879,-0.002272516,0.082712383,0.103281046,Leuning
116,24.30636109,24.31882399,-0.001949939,0.082712383,0.062739823,Leuning
117,24.04943344,24.05425085,-0.002453172,0.077128904,0.097488561,Leuning
118,24.04086241,24.0513879,-0.002272516,0.082712383,0.103281046,Leuning
119,24.30636109,24.31882399,-0.001949939,0.082712383,0.062739823,Leuning
120,24.04943344,24.05425085,-0.002453172,0.077128904,0.097488561,Leuning
121,24.30636109,24.31882399,-0.001949939,0.082712383,0.062739823,Leuning
122,24.11673692,24.11336499,0.000589349,0.865936215,0.093742512,Leuning
123,24.08355594,24.09692018,-0.003424412,0.035285132,0.089802867,Leuning
124,24.11553449,24.13340961,-0.003393986,0.04378698,0.097008104,Leuning
125,24.22793762,24.22883079,-0.001906969,0.327869973,0.083713841,Leuning
126,24.63196096,24.6514627,0.001105798,0.335338963,0.059994156,Leuning
127,23.52830694,23.54252709,0.000143511,1,0.166397989,Leuning
128,24.10468846,24.16001364,-0.001348149,0.299211561,0.099595568,Leuning
129,24.49318664,24.51447339,0.002285621,0.103755506,0.06942612,Leuning
130,23.73290255,23.73647854,0.00016475,0.592490181,0.025309361,Leuning
