Site,Lat,Lon,PFT,Year,D13C_gpp,D13C_gs,D13C_6-8,Discr_mod,Stom_mod,beta_stress,Obs
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,19.00434186
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,17.90315562
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,17.12770493
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,16.92816349
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,18.73203574
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,18.42664918
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,17.25957287
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,18.68287649
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,15.96894815
142,34.5,-119.82,BET,2007,23.43837897,23.35725312,22.94259242,simple,Jacobs,0.050078094,17.36577485
142,34.5,-119.82,BDT,2007,23.03620614,22.62558556,22.62558556,simple,Jacobs,0.050078094,19.40139629
143,38.68,-119.72,NET,1987,22.35095128,22.62674381,21.01806596,simple,Jacobs,0.402059356,14.93178425
144,39.38,-119.72,NET,1987,22.23052198,22.63686526,20.72839491,simple,Jacobs,0.651926676,15.24327863
144,39.38,-119.72,NET,1987,22.23052198,22.63686526,20.72839491,simple,Jacobs,0.651926676,14.0398921
144,39.38,-119.72,NET,1987,22.23052198,22.63686526,20.72839491,simple,Jacobs,0.651926676,14.97330579
143,38.68,-119.72,BET,1987,23.45119982,23.68050435,22.71798775,simple,Jacobs,0.403233081,19.39393939
143,38.68,-119.72,BDT,1987,22.50762527,22.23914566,22.23914566,simple,Jacobs,0.403233081,18.76604045
144,39.38,-119.72,BDT,1987,22.56407819,22.11633724,22.11633724,simple,Jacobs,0.657619913,18.59873134
